"","var","label_var","label_val","value"
"1","q1","Consent to Participate

2024 Current Events Survey  

 

This research is being conducted by Professor Michael Hanmer at the University of Maryland, College Park. We are inviting you to participate in this research project because you are at least 18 years old, and are a United States citizen. The purpose of this research project is to get your opinions about current events. The procedures involve answering a set of questions on a variety of topics related to current events, some of which have been in the news. You will also answer demographic questions, such as: what is the highest level of education you have completed? 

 

If you do not wish to answer a particular question, you may skip that question by clicking next. This survey should take about 10 minutes to complete. You will be compensated for your participation in this survey according to the reward listed on your invitation. There are no known risks associated with participating in this research project. There may be discomfort in answering some qu","I consent, begin the study; I do not consent, I do not wish to participate","1; 2"
"2","q2","What is your age?","18; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 31; 32; 33; 34; 35; 36; 37; 38; 39; 40; 41; 42; 43; 44; 45; 46; 47; 48; 49; 50; 51; 52; 53; 54; 55; 56; 57; 58; 59; 60; 61; 62; 63; 64; 65; 66; 67; 68; 69; 70; 71; 72; 73; 74; 75; 76; 77; 78; 79; 80; 81; 82; 83; 84; 85; 86; 87; 88; 89; 90 or older","1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 31; 32; 33; 34; 35; 36; 37; 38; 39; 40; 41; 42; 43; 44; 45; 46; 47; 48; 49; 50; 51; 52; 53; 54; 55; 56; 57; 58; 59; 60; 61; 62; 63; 64; 65; 67; 68; 69; 70; 71; 73"
"3","q3","Are you a citizen of the United States?","Yes, U.S. citizen by birth; Yes, U.S. citizen by naturalization; No, I am not a U.S. citizen","1; 2; 3"
"4","q4","50 States, D.C. and Puerto Rico","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; District of Columbia; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Puerto Rico; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming; I do not reside in the United States","1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 31; 32; 33; 34; 35; 36; 37; 38; 39; 41; 42; 43; 44; 45; 46; 47; 48; 49; 50; 51; 52"
"5","q5","How often do you pay attention to what is going on in government and politics?","Never; Sometimes; About half the time; Most of the time; Always","-99; 1; 2; 3; 4; 5"
"6","q6","In general, how favorable or unfavorable is your impression of local election officials?","Strongly favorable; Somewhat favorable; Neither favorable nor unfavorable; Somewhat unfavorable; Strongly unfavorable","-99; 1; 2; 3; 4; 5"
"7","q7","Regardless of whom you supported in the 2020 election, do you think Joe Biden's election as president was legitimate, or was he not legitimately elected?","Legitimate; Not legitimate","-99; 1; 2"
"8","q8","Generally speaking, how often can you trust other people?","Always; Most of the time; About half of the time; Some of the time; Never","1; 2; 3; 4; 5"
"9","q9","To ensure the accuracy of our survey data, we need to confirm that you are a real person. To confirm that you are a real person, please select ""Watermelon"" from the list below.","Grape; Watermelon","0; 1"
"10","q10","Your response to the last question was not correct. We would like to give you a chance to reconsider.
To confirm that you are a real person, please select ""Watermelon"" from the list below.","Grape; Watermelon","0; 1"
"11","q13_page_submit","Timing - Page Submit","","15.669; 15.777; 15.797; 15.8; 15.864; 15.869; 15.898; 15.908; 15.916; 15.924; 15.93; 15.939; 15.968; 15.975; 15.981; 15.982; 15.985; 15.992; 16.095; 16.096; 16.101; 16.118; 16.126; 16.127; 16.152; 16.173; 16.193; 16.207; 16.217; 16.228; 16.25; 16.254; 16.263; 16.276; 16.28; 16.291; 16.299; 16.31; 16.318; 16.332; 16.343; 16.349; 16.361; 16.376; 16.379; 16.387; 16.394; 16.413; 16.453; 16.471; 16.495; 16.501; 16.549; 16.551; 16.573; 16.58; 16.592; 16.602; 16.603; 16.605; 16.621; 16.63; 16.643; 16.653; 16.656; 16.66; 16.661; 16.669; 16.701; 16.703; 16.71; 16.763; 16.775; 16.794; 16.802; 16.817; 16.89; 16.9; 16.933; 16.947; 16.964; 16.989; 17.023; 17.029; 17.053; 17.082; 17.109; 17.123; 17.125; 17.142; 17.154; 17.17; 17.184; 17.223; 17.244; 17.256; 17.273; 17.282; 17.364; 17.386; 17.453; 17.463; 17.496; 17.503; 17.566; 17.637; 17.643; 17.644; 17.682; 17.685; 17.776; 17.806; 17.812; 17.814; 17.852; 17.86; 17.872; 17.901; 17.974; 17.983; 18.052; 18.081; 18.084; 18.126; 18.196; 18.198; 18.215; 18.277; 18.308; 18.328; 18.359; 18.367; 18.401; 18.429; 18.46; 18.574; 18.58; 18.639; 18.668; 18.703; 18.737; 18.804; 18.814; 18.824; 18.857; 18.865; 18.923; 19; 19.001; 19.025; 19.059; 19.099; 19.2; 19.275; 19.276; 19.331; 19.353; 19.514; 19.518; 19.519; 19.583; 19.587; 19.602; 19.645; 19.65; 19.73; 19.735; 19.742; 19.76; 19.777; 19.79; 19.796; 19.808; 19.848; 19.956; 20.047; 20.101; 20.137; 20.182; 20.374; 20.435; 20.491; 20.501; 20.536; 20.621; 20.746; 20.79; 20.802; 20.917; 20.966; 20.968; 21.044; 21.099; 21.191; 21.252; 21.397; 21.401; 21.55; 21.601; 21.658; 21.699; 21.742; 21.751; 21.755; 21.771; 21.795; 21.872; 21.906; 21.953; 21.977; 21.985; 22.002; 22.053; 22.122; 22.198; 22.212; 22.272; 22.296; 22.406; 22.423; 22.466; 22.694; 22.701; 22.798; 22.887; 23.079; 23.084; 23.102; 23.11; 23.291; 23.343; 23.393; 23.485; 23.601; 23.606; 23.649; 23.653; 23.675; 23.846; 23.961; 23.988; 24.02; 24.042; 24.054; 24.092; 24.182; 24.248; 24.251; 24.253; 24.272; 24.451; 24.634; 24.658; 24.701; 24.722; 24.74; 24.86; 24.89; 24.998; 25.006; 25.02; 25.173; 25.256; 25.26; 25.291; 25.364; 25.443; 25.453; 25.471; 25.618; 25.626; 25.655; 25.741; 25.817; 25.901; 26.087; 26.323; 26.404; 26.414; 26.477; 26.482; 26.496; 26.498; 26.572; 26.623; 26.64; 26.642; 26.801; 26.854; 26.873; 26.916; 27.026; 27.03; 27.125; 27.154; 27.176; 27.244; 27.382; 27.432; 27.447; 27.48; 27.494; 27.546; 27.559; 27.58; 27.619; 27.651; 27.89; 27.961; 27.977; 28.024; 28.096; 28.098; 28.12; 28.126; 28.149; 28.291; 28.301; 28.548; 28.653; 28.715; 28.964; 29.045; 29.161; 29.2; 29.296; 29.371; 29.431; 29.614; 29.662; 29.672; 29.954; 29.989; 29.999; 30.018; 30.094; 30.418; 30.445; 30.534; 30.551; 30.592; 30.616; 30.669; 30.752; 30.879; 30.953; 30.995; 31.018; 31.148; 31.201; 31.318; 31.622; 31.695; 31.784; 31.892; 31.978; 32.12; 32.143; 32.252; 32.387; 32.486; 32.659; 32.7; 32.726; 32.752; 32.829; 32.94; 33.028; 33.058; 33.175; 33.303; 33.396; 33.498; 33.504; 33.86; 34.15; 34.322; 34.33; 34.335; 34.357; 34.376; 34.427; 34.468; 34.481; 34.71; 34.908; 34.96; 34.978; 35.089; 35.099; 35.137; 35.409; 35.419; 35.479; 35.485; 35.647; 35.859; 35.934; 35.943; 36.056; 36.245; 36.492; 36.5; 36.626; 36.688; 36.826; 36.901; 37.041; 37.123; 37.223; 37.241; 37.274; 37.426; 37.689; 37.758; 37.9; 38.1; 38.148; 38.196; 38.282; 38.333; 38.48; 38.6; 38.672; 38.73; 38.733; 38.887; 38.982; 39.101; 39.204; 39.237; 39.415; 39.449; 39.577; 39.631; 39.678; 39.77; 39.8; 40.077; 40.084; 40.156; 40.201; 40.327; 40.441; 40.493; 40.666; 40.672; 40.784; 41.045; 41.324; 41.766; 41.831; 41.962; 42.477; 42.522; 42.623; 42.647; 42.694; 42.725; 42.86; 42.946; 42.968; 43.001; 43.018; 43.065; 43.1; 43.225; 43.301; 43.391; 43.4; 43.455; 43.492; 43.698; 44.067; 44.173; 44.235; 44.332; 44.354; 44.652; 45.001; 45.139; 45.201; 45.313; 45.379; 45.728; 45.901; 46.041; 46.131; 46.201; 46.343; 46.352; 46.533; 46.698; 46.718; 46.827; 46.967; 47.083; 47.099; 47.281; 47.32; 47.502; 47.503; 47.544; 47.56; 47.579; 47.655; 47.672; 47.87; 48.05; 48.715; 48.835; 48.884; 48.961; 49.261; 49.382; 49.693; 49.98; 50.47; 50.556; 50.648; 50.655; 50.897; 51.499; 51.735; 51.8; 51.965; 52; 52.051; 52.196; 52.216; 52.287; 52.356; 52.886; 53.283; 53.462; 54.001; 54.463; 54.634; 54.758; 54.774; 55.06; 55.128; 55.19; 55.286; 55.801; 56.32; 56.326; 56.517; 56.98; 57.114; 57.131; 57.176; 57.601; 57.608; 57.74; 57.772; 58.351; 58.791; 58.843; 59.132; 60.448; 60.974; 61.4; 61.511; 62.593; 62.992; 63.264; 63.47; 63.901; 63.979; 63.984; 64.073; 64.286; 64.3; 64.55; 65.031; 65.485; 65.837; 66.228; 66.373; 67.472; 67.477; 67.857; 68.918; 69.102; 70.061; 70.063; 71.947; 72.177; 72.687; 72.956; 72.97; 73.336; 73.683; 75.429; 75.627; 75.866; 76.087; 76.362; 78.301; 78.426; 78.521; 78.828; 79.303; 80.009; 80.183; 80.245; 80.37; 80.409; 80.579; 80.671; 81.04; 82.579; 83.383; 83.548; 84.823; 88.042; 88.136; 88.702; 88.901; 92.588; 96.265; 98.253; 99.374; 99.601; 100.302; 103.454; 105.255; 106.435; 109.649; 109.86; 111.405; 114.07; 117.831; 118.739; 122.963; 125.203; 142; 142.717; 144.988; 149.802; 153.76; 160.346; 162.245; 163.579; 171.086; 173.3; 173.463; 182.717; 187.787; 221.056; 229.871; 280.087; 321.713; 395.2; 408.719; 582.94; 588.177; 614.059; 652.701; 829.643; 1022.649"
"12","q14","Did the text from the article display correctly?","No; Yes","-99; 1; 2"
"13","q16_page_submit","Timing - Page Submit","","15.795; 15.824; 15.84; 15.846; 15.889; 15.942; 15.954; 15.955; 15.979; 15.988; 15.99; 16.005; 16.013; 16.021; 16.024; 16.047; 16.067; 16.072; 16.074; 16.084; 16.085; 16.088; 16.097; 16.1; 16.101; 16.102; 16.107; 16.115; 16.125; 16.129; 16.165; 16.182; 16.187; 16.192; 16.196; 16.205; 16.263; 16.269; 16.274; 16.279; 16.3; 16.302; 16.313; 16.319; 16.327; 16.334; 16.339; 16.352; 16.354; 16.363; 16.374; 16.378; 16.423; 16.49; 16.493; 16.522; 16.544; 16.559; 16.571; 16.588; 16.619; 16.63; 16.636; 16.694; 16.75; 16.766; 16.767; 16.771; 16.773; 16.778; 16.79; 16.818; 16.87; 16.879; 16.886; 16.915; 16.926; 16.946; 16.983; 17.051; 17.072; 17.142; 17.15; 17.16; 17.169; 17.198; 17.2; 17.202; 17.215; 17.246; 17.249; 17.25; 17.26; 17.317; 17.329; 17.342; 17.359; 17.376; 17.387; 17.401; 17.405; 17.436; 17.456; 17.473; 17.543; 17.573; 17.576; 17.584; 17.628; 17.681; 17.69; 17.691; 17.696; 17.723; 17.756; 17.789; 17.805; 17.825; 17.867; 17.872; 17.873; 17.885; 17.901; 17.941; 17.951; 17.983; 18.093; 18.144; 18.147; 18.171; 18.201; 18.207; 18.21; 18.211; 18.224; 18.267; 18.324; 18.337; 18.344; 18.358; 18.401; 18.402; 18.423; 18.449; 18.453; 18.6; 18.618; 18.641; 18.685; 18.698; 18.701; 18.756; 18.778; 18.893; 18.969; 18.98; 18.993; 19.029; 19.093; 19.1; 19.17; 19.223; 19.233; 19.266; 19.287; 19.339; 19.344; 19.377; 19.449; 19.629; 19.657; 19.701; 19.736; 19.802; 19.966; 20.023; 20.094; 20.167; 20.172; 20.175; 20.177; 20.238; 20.241; 20.248; 20.259; 20.264; 20.319; 20.322; 20.336; 20.39; 20.425; 20.446; 20.45; 20.48; 20.599; 20.635; 20.703; 20.82; 20.821; 20.843; 20.954; 20.959; 21.013; 21.041; 21.128; 21.163; 21.218; 21.273; 21.364; 21.52; 21.525; 21.591; 21.613; 21.615; 21.637; 21.702; 21.717; 21.784; 21.843; 21.91; 22.1; 22.187; 22.2; 22.201; 22.208; 22.228; 22.253; 22.341; 22.401; 22.408; 22.499; 22.55; 22.552; 22.559; 22.595; 22.638; 22.747; 22.93; 22.936; 23.113; 23.117; 23.281; 23.284; 23.29; 23.294; 23.301; 23.43; 23.581; 23.592; 23.609; 23.701; 23.702; 23.713; 23.743; 23.887; 23.926; 23.936; 24.021; 24.077; 24.242; 24.264; 24.283; 24.4; 24.493; 24.518; 24.617; 24.634; 24.655; 24.842; 25.004; 25.015; 25.246; 25.271; 25.28; 25.316; 25.324; 25.329; 25.361; 25.407; 25.479; 25.504; 25.788; 25.862; 25.98; 25.999; 26.032; 26.067; 26.302; 26.33; 26.361; 26.396; 26.406; 26.501; 26.564; 26.583; 26.905; 26.962; 26.966; 27.077; 27.132; 27.255; 27.412; 27.506; 27.571; 27.595; 27.65; 27.681; 27.78; 27.802; 27.803; 28.052; 28.103; 28.279; 28.293; 28.308; 28.316; 28.519; 28.547; 28.585; 28.755; 28.924; 29.004; 29.061; 29.235; 29.3; 29.301; 29.408; 29.418; 29.489; 29.511; 29.567; 29.572; 29.801; 29.876; 29.99; 30.003; 30.087; 30.124; 30.196; 30.265; 30.37; 30.419; 30.478; 30.588; 30.593; 30.727; 30.925; 31.074; 31.095; 31.151; 31.322; 31.384; 31.638; 31.714; 31.716; 31.731; 32.065; 32.076; 32.164; 32.306; 32.567; 32.652; 32.682; 32.764; 32.901; 32.902; 32.917; 33.041; 33.069; 33.082; 33.102; 33.203; 33.212; 33.213; 33.247; 33.394; 33.402; 33.448; 33.647; 33.662; 33.672; 33.735; 33.784; 33.802; 33.835; 33.882; 33.978; 33.98; 34.001; 34.1; 34.101; 34.154; 34.179; 34.221; 34.26; 34.262; 34.314; 34.328; 34.4; 34.414; 34.617; 34.624; 34.628; 34.645; 34.799; 34.845; 34.849; 34.936; 34.952; 35.253; 35.289; 35.34; 35.341; 35.402; 35.413; 35.692; 35.733; 35.794; 36.103; 36.154; 36.19; 36.55; 36.66; 36.666; 36.668; 36.675; 36.704; 36.752; 36.901; 37.212; 37.271; 37.3; 37.554; 37.68; 37.699; 37.796; 37.842; 37.868; 37.922; 37.98; 38.096; 38.163; 38.362; 38.708; 38.735; 38.889; 39.03; 39.095; 39.117; 39.179; 39.331; 39.347; 39.557; 39.701; 39.883; 39.947; 40.154; 40.401; 40.403; 40.458; 40.602; 40.782; 41.101; 41.117; 41.131; 41.137; 41.194; 41.407; 41.51; 41.701; 41.786; 41.956; 41.959; 42.179; 42.22; 42.414; 42.552; 42.652; 42.682; 42.711; 42.716; 42.852; 42.874; 42.901; 42.906; 43.191; 43.29; 43.435; 43.601; 43.727; 43.823; 44.155; 44.246; 44.258; 44.296; 44.556; 44.943; 45.026; 45.106; 45.128; 45.24; 45.332; 45.372; 45.428; 45.587; 45.777; 45.986; 46.038; 46.316; 46.587; 46.894; 46.922; 47.284; 47.448; 47.809; 47.885; 47.901; 47.993; 48.1; 48.178; 48.848; 48.864; 49.023; 49.027; 49.101; 49.274; 49.301; 49.404; 49.429; 49.62; 49.671; 49.845; 49.847; 49.942; 50.046; 50.402; 50.448; 50.798; 50.799; 51.17; 51.259; 51.288; 51.642; 51.796; 51.801; 52.024; 52.033; 52.127; 52.694; 52.742; 54.086; 54.145; 54.303; 54.465; 54.644; 55.099; 55.202; 55.452; 55.801; 56.1; 56.165; 56.182; 57.4; 57.452; 57.701; 57.929; 58.289; 58.606; 58.972; 59.223; 59.468; 59.869; 60.955; 61.067; 61.164; 62.1; 63.827; 64.312; 64.499; 64.723; 65.126; 65.357; 66.441; 67.517; 68.067; 68.104; 69.424; 71; 71.002; 71.301; 72.731; 73.113; 73.375; 73.652; 73.715; 73.821; 74.734; 75.857; 76.552; 76.704; 77.55; 78.637; 79.092; 80.931; 81.27; 82.041; 82.102; 83.404; 83.516; 84.602; 86.695; 89.067; 89.659; 90.673; 92.014; 93.681; 93.764; 93.858; 94.9; 97.201; 97.619; 98.009; 109.677; 111.618; 112.784; 113.351; 116.938; 118.292; 124.215; 125.497; 125.985; 139.663; 139.85; 141.652; 150.358; 160.67; 175.771; 176.175; 184.584; 185.196; 185.37; 206.973; 223.137; 230.102; 265.786; 271.452; 291.301; 400.295; 470.755; 648.497; 821.266; 849.402; 1312.199; 1501.528"
"14","q17","Did the text from the article display correctly?","No; Yes","1; 2"
"15","q19","How confident are you that votes in Maricopa County, AZ will be counted as voters intend in the elections this November?","Very confident; Somewhat confident; Not too confident; Not at all confident","-99; 1; 2; 3; 4"
"16","q20","How confident are you that election officials, their staff, and volunteers in Maricopa County, AZ will do a good job conducting the elections this November?","Very confident; Somewhat confident; Not too confident; Not at all confident","-99; 1; 2; 3; 4"
"17","q21","Think about the election staff and volunteers who handle the administration and conduct of elections in Maricopa County, AZ. How committed do you think they will be to making sure the elections held this November are fair and accurate?","Very committed; Somewhat committed; Not too committed; Not at all committed","-99; 1; 2; 3; 4"
"18","q22","How confident are you that the voting process will be fair in Maricopa County, AZ?","Very confident; Somewhat confident; Not too confident; Not at all confident","-99; 1; 2; 3; 4"
"19","q23","How confident are you that the voting outcomes will be fair in Maricopa County, AZ?","Very confident; Somewhat confident; Not too confident; Not at all confident","-99; 1; 2; 3; 4"
"20","q24","How confident are you that election systems in Maricopa County, AZ will be secure from hacking and other technological threats?","Very confident; Somewhat confident; Not too confident; Not at all confident","-99; 1; 2; 3; 4"
"21","q25","Thinking about Maricopa County, AZ, how concerned should voters feel about potential violence, threats of violence, or intimidation while voting in person at their local polling place?","Very concerned; Somewhat concerned; Not too concerned; Not at all concerned","-99; 1; 2; 3; 4"
"22","q26","How confident, if at all, are you that in person polling places in Maricopa County, AZ will be safe places for voters to cast their ballots during the upcoming elections in November?","Very confident; Somewhat confident; Not too confident; Not at all confident","-99; 1; 2; 3; 4"
"23","q27","Do you approve or disapprove of the way election officials in Maricopa County, AZ are handling their jobs?","Strongly approve; Somewhat approve; Somewhat disapprove; Strongly disapprove","-99; 1; 2; 3; 4"
"24","q28_1","How likely do you think any or all of the following will happen during this year´s elections in Maricopa County, AZ? - There will be voter fraud, that is, people who are not eligible to vote will vote, or vote more than once","Very likely; Somewhat likely; Not too likely; Not likely at all","-99; 1; 2; 3; 4"
"25","q28_2","How likely do you think any or all of the following will happen during this year´s elections in Maricopa County, AZ? - Many votes will not actually be counted","Very likely; Somewhat likely; Not too likely; Not likely at all","-99; 1; 2; 3; 4"
"26","q28_3","How likely do you think any or all of the following will happen during this year´s elections in Maricopa County, AZ? - Many people will show up to vote and be told they are not eligible","Very likely; Somewhat likely; Not too likely; Not likely at all","-99; 1; 2; 3; 4"
"27","q28_4","How likely do you think any or all of the following will happen during this year´s elections in Maricopa County, AZ? - A foreign country will tamper with the votes cast in this area to change the results","Very likely; Somewhat likely; Not too likely; Not likely at all","-99; 1; 2; 3; 4"
"28","q28_5","How likely do you think any or all of the following will happen during this year´s elections in Maricopa County, AZ? - Election officials in Maricopa County, Arizona will try to discourage some people from voting","Very likely; Somewhat likely; Not too likely; Not likely at all","-99; 1; 2; 3; 4"
"29","q29","How much would you like to see your local community adopt a program for recruiting elections staff like the one you read about in Maricopa County, AZ?","Definitely should adopt; Probably should adopt; Probably should not adopt; Definitely should not adopt","-99; 1; 2; 3; 4"
"30","q30","Think about vote counting throughout your local area, and not just your own personal vote. How confident are you that votes in your community will be counted as voters intend in the elections this November?","Very confident; Somewhat confident; Not too confident; Not at all confident","1; 2; 3; 4"
"31","q31","How confident are you that election officials, their staff, and volunteers in your local community will do a good job administering the elections this November?","Very confident; Somewhat confident; Not too confident; Not at all confident","-99; 1; 2; 3; 4"
"32","q32","Now think about the election staff and volunteers who handle the administration and conduct of elections in your local area. How committed do you think they will be to making sure the elections held this November are fair and accurate?","Very committed; Somewhat committed; Not too committed; Not at all committed","1; 2; 3; 4"
"33","q33","How confident are you that the voting process will be fair in your local area?","Very confident; Somewhat confident; Not too confident; Not at all confident","1; 2; 3; 4"
"34","q34","How confident are you that the voting outcomes will be fair in your local area?","Very confident; Somewhat confident; Not too confident; Not at all confident","1; 2; 3; 4"
