"","var","label_var","label_val","value"
"35","q35","How confident are you that election systems in your local area are secure from hacking and other technological threats?","Very confident; Somewhat confident; Not too confident; Not at all confident","-99; 1; 2; 3; 4"
"36","q36","Thinking about your local area, how concerned should voters feel about potential violence, threats of violence, or intimidation while voting in person at their local polling place?","Very concerned; Somewhat concerned; Somewhat unconcerned; Not at all concerned","1; 2; 3; 4"
"37","q37","How confident, if at all, are you that in person polling places in your local area will be safe places for voters to cast their ballots during the upcoming elections in November?","Very confident; Somewhat confident; Not too confident; Not at all confident","-99; 1; 2; 3; 4"
"38","q38","Overall, how safe would you feel voting in person in your local area?","Very safe; Somewhat safe; Not too safe; Not safe at all","1; 2; 3; 4"
"39","q39","Do you approve or disapprove of the way election officials in your community are handling their jobs?","Strongly approve; Somewhat approve; Somewhat disapprove; Strongly disapprove","-99; 1; 2; 3; 4"
"40","q40_1","How likely do you think any or all of the following will happen during this year´s elections in your local area? - There will be voter fraud, that is, people who are not eligible to vote will vote, or vote more than once","Very likely; Somewhat likely; Not too likely; Not likely at all","-99; 1; 2; 3; 4"
"41","q40_2","How likely do you think any or all of the following will happen during this year´s elections in your local area? - Many votes will not actually be counted","Very likely; Somewhat likely; Not too likely; Not likely at all","-99; 1; 2; 3; 4"
"42","q40_3","How likely do you think any or all of the following will happen during this year´s elections in your local area? - Many people will show up to vote and be told they are not eligible","Very likely; Somewhat likely; Not too likely; Not likely at all","-99; 1; 2; 3; 4"
"43","q40_4","How likely do you think any or all of the following will happen during this year´s elections in your local area? - A foreign country will tamper with the votes cast to change the results","Very likely; Somewhat likely; Not too likely; Not likely at all","-99; 1; 2; 3; 4"
"44","q40_5","How likely do you think any or all of the following will happen during this year´s elections in your local area? - Election officials in your community will try to discourage some people from voting","Very likely; Somewhat likely; Not too likely; Not likely at all","-99; 1; 2; 3; 4"
"45","q41_1","Regardless of whether any of these are actually the case, how would the following impact your confidence in the fairness and accuracy of elections conducted this November? - Election officials test every machine used in the election to ensure they are secure.","Increase confidence a lot; Increase confidence somewhat; No impact on confidence; Decrease confidence somewhat; Decrease confidence a lot","-99; 1; 2; 3; 4; 5"
"46","q41_2","Regardless of whether any of these are actually the case, how would the following impact your confidence in the fairness and accuracy of elections conducted this November? - Election officials conduct audits of ballots after every election to confirm the results were accurate.","Increase confidence a lot; Increase confidence somewhat; No impact on confidence; Decrease confidence somewhat; Decrease confidence a lot","-99; 1; 2; 3; 4; 5"
"47","q41_3","Regardless of whether any of these are actually the case, how would the following impact your confidence in the fairness and accuracy of elections conducted this November? - Poll watchers affiliated with the political parties or candidates observe the election.","Increase confidence a lot; Increase confidence somewhat; No impact on confidence; Decrease confidence somewhat; Decrease confidence a lot","-99; 1; 2; 3; 4; 5"
"48","q41_4","Regardless of whether any of these are actually the case, how would the following impact your confidence in the fairness and accuracy of elections conducted this November? - Election staff and volunteers include military veterans and their family members from the community.","Increase confidence a lot; Increase confidence somewhat; No impact on confidence; Decrease confidence somewhat; Decrease confidence a lot","-99; 1; 2; 3; 4; 5"
"49","q41_5","Regardless of whether any of these are actually the case, how would the following impact your confidence in the fairness and accuracy of elections conducted this November? - Election staff and volunteers include lawyers from the community.","Increase confidence a lot; Increase confidence somewhat; No impact on confidence; Decrease confidence somewhat; Decrease confidence a lot","-99; 1; 2; 3; 4; 5"
"50","q41_6","Regardless of whether any of these are actually the case, how would the following impact your confidence in the fairness and accuracy of elections conducted this November? - Election staff and volunteers include college students from the community.","Increase confidence a lot; Increase confidence somewhat; No impact on confidence; Decrease confidence somewhat; Decrease confidence a lot","-99; 1; 2; 3; 4; 5"
"51","q43_1","How would the following impact your confidence that voters are safe from violence, threats of violence, or intimidation while voting in-person during elections this November? - Election officials ensure that law enforcement officers are present at polling sites.","Increase confidence a lot; Increase confidence somewhat; No impact on confidence; Decrease confidence somewhat; Decrease confidence a lot","-99; 1; 2; 3; 4; 5"
"52","q43_2","How would the following impact your confidence that voters are safe from violence, threats of violence, or intimidation while voting in-person during elections this November? - Poll watchers affiliated with the political parties or candidates observe the election.","Increase confidence a lot; Increase confidence somewhat; No impact on confidence; Decrease confidence somewhat; Decrease confidence a lot","-99; 1; 2; 3; 4; 5"
"53","q43_3","How would the following impact your confidence that voters are safe from violence, threats of violence, or intimidation while voting in-person during elections this November? - People holding signs or giving out literature in support of a candidate or ballot question.","Increase confidence a lot; Increase confidence somewhat; No impact on confidence; Decrease confidence somewhat; Decrease confidence a lot","-99; 1; 2; 3; 4; 5"
"54","q43_4","How would the following impact your confidence that voters are safe from violence, threats of violence, or intimidation while voting in-person during elections this November? - Election staff and volunteers include military veterans and their family members from the community.","Increase confidence a lot; Increase confidence somewhat; No impact on confidence; Decrease confidence somewhat; Decrease confidence a lot","-99; 1; 2; 3; 4; 5"
"55","q43_5","How would the following impact your confidence that voters are safe from violence, threats of violence, or intimidation while voting in-person during elections this November? - Election staff and volunteers include lawyers from the community.","Increase confidence a lot; Increase confidence somewhat; No impact on confidence; Decrease confidence somewhat; Decrease confidence a lot","-99; 1; 2; 3; 4; 5"
"56","q43_6","How would the following impact your confidence that voters are safe from violence, threats of violence, or intimidation while voting in-person during elections this November? - Election staff and volunteers include college students from the community.","Increase confidence a lot; Increase confidence somewhat; No impact on confidence; Decrease confidence somewhat; Decrease confidence a lot","-99; 1; 2; 3; 4; 5"
"57","q44_1","Regardless of whether any of these are actually the case, how would the following impact your confidence in the fairness and accuracy of elections conducted this November? - Election officials test every machine used in the election to ensure they are secure.","Increase confidence a lot; Increase confidence somewhat; No impact on confidence; Decrease confidence somewhat; Decrease confidence a lot","-99; 1; 2; 3; 4; 5"
"58","q44_2","Regardless of whether any of these are actually the case, how would the following impact your confidence in the fairness and accuracy of elections conducted this November? - The majority of election staff and volunteers consist of military veterans and their family members from the community.","Increase confidence a lot; Increase confidence somewhat; No impact on confidence; Decrease confidence somewhat; Decrease confidence a lot","-99; 1; 2; 3; 4; 5"
"59","q44_3","Regardless of whether any of these are actually the case, how would the following impact your confidence in the fairness and accuracy of elections conducted this November? - The majority of election staff and volunteers consist of lawyers from the community.","Increase confidence a lot; Increase confidence somewhat; No impact on confidence; Decrease confidence somewhat; Decrease confidence a lot","-99; 1; 2; 3; 4; 5"
"60","q44_4","Regardless of whether any of these are actually the case, how would the following impact your confidence in the fairness and accuracy of elections conducted this November? - Election officials conduct audits of ballots after every election to confirm the results were accurate.","Increase confidence a lot; Increase confidence somewhat; No impact on confidence; Decrease confidence somewhat; Decrease confidence a lot","-99; 1; 2; 3; 4; 5"
"61","q44_5","Regardless of whether any of these are actually the case, how would the following impact your confidence in the fairness and accuracy of elections conducted this November? - Poll watchers affiliated with the political parties or candidates observe the election.","Increase confidence a lot; Increase confidence somewhat; No impact on confidence; Decrease confidence somewhat; Decrease confidence a lot","-99; 1; 2; 3; 4; 5"
"62","q44_6","Regardless of whether any of these are actually the case, how would the following impact your confidence in the fairness and accuracy of elections conducted this November? - The majority of election staff and volunteers consist of college students from the community.","Increase confidence a lot; Increase confidence somewhat; No impact on confidence; Decrease confidence somewhat; Decrease confidence a lot","-99; 1; 2; 3; 4; 5"
"63","q46_1","How would the following impact your confidence that voters are safe from violence, threats of violence, or intimidation while voting in-person during elections this November? - Election officials ensure that law enforcement officers are present at polling sites.","Increase confidence a lot; Increase confidence somewhat; No impact on confidence; Decrease confidence somewhat; Decrease confidence a lot","-99; 1; 2; 3; 4; 5"
"64","q46_2","How would the following impact your confidence that voters are safe from violence, threats of violence, or intimidation while voting in-person during elections this November? - The majority of election staff and volunteers consist of military veterans and their family members from the community.","Increase confidence a lot; Increase confidence somewhat; No impact on confidence; Decrease confidence somewhat; Decrease confidence a lot","-99; 1; 2; 3; 4; 5"
"65","q46_3","How would the following impact your confidence that voters are safe from violence, threats of violence, or intimidation while voting in-person during elections this November? - The majority of election staff and volunteers consist of lawyers from the community.","Increase confidence a lot; Increase confidence somewhat; No impact on confidence; Decrease confidence somewhat; Decrease confidence a lot","-99; 1; 2; 3; 4; 5"
"66","q46_4","How would the following impact your confidence that voters are safe from violence, threats of violence, or intimidation while voting in-person during elections this November? - Poll watchers affiliated with the political parties or candidates observe the election.","Increase confidence a lot; Increase confidence somewhat; No impact on confidence; Decrease confidence somewhat; Decrease confidence a lot","-99; 1; 2; 3; 4; 5"
"67","q46_5","How would the following impact your confidence that voters are safe from violence, threats of violence, or intimidation while voting in-person during elections this November? - The majority of election staff and volunteers consist of college students from the community.","Increase confidence a lot; Increase confidence somewhat; No impact on confidence; Decrease confidence somewhat; Decrease confidence a lot","-99; 1; 2; 3; 4; 5"
"68","q46_6","How would the following impact your confidence that voters are safe from violence, threats of violence, or intimidation while voting in-person during elections this November? - People holding signs or giving out literature in support of a candidate or ballot question.","Increase confidence a lot; Increase confidence somewhat; No impact on confidence; Decrease confidence somewhat; Decrease confidence a lot","-99; 1; 2; 3; 4; 5"
"69","q47","Have you ever worked as an election worker at polling place, as a volunteer or otherwise?","Yes; No","-99; 1; 2"
"70","q48","How likely would you be to agree to volunteer work as an election worker at polling place in your local area for the upcoming elections this November?","Very likely; Somewhat likely; Not too likely; Not likely at all","-99; 1; 2; 3; 4"
"71","q49","How likely would you be to consider applying for a temporary job in elections for the upcoming elections this November?","Very likely; Somewhat likely; Not too likely; Not likely at all","-99; 1; 2; 3; 4"
"72","q50","How likely would you be to consider applying for a permanent job in elections?","Very likely; Somewhat likely; Not too likely; Not likely at all","1; 2; 3; 4"
"73","q51","Is the following statement closer to being true or false?

The people of this country have power to reform the way the system works.","True -- this is the case; More true than false -- this is mostly the case, but not completely true; More false than true -- this is mostly not the case, but not completely false; False -- this is not the case at all; Unsure","-99; 1; 2; 3; 4; 5"
"74","q52","Is the following statement closer to being true or false?

The people of this country have power to shape the rules that govern society.","True -- this is the case; More true than false -- this is mostly the case, but not completely true; More false than true -- this is mostly not the case, but not completely false; False -- this is not the case at all; Unsure","-99; 1; 2; 3; 4; 5"
"75","q53","Is the following statement closer to being true or false?

The people of this country have power to bring about change to the political conditions that govern the lives of everyone.","True -- this is the case; More true than false -- this is mostly the case, but not completely true; More false than true -- this is mostly not the case, but not completely false; False -- this is not the case at all; Unsure","-99; 1; 2; 3; 4; 5"
"76","q54","Is the following statement closer to being true or false?

The people of this country can secure themselves against tyrannical rule.","True -- this is the case; More true than false -- this is mostly the case, but not completely true; More false than true -- this is mostly not the case, but not completely false; False -- this is not the case at all; Unsure","-99; 1; 2; 3; 4; 5"
"77","q55","Is the following statement closer to being true or false?

By participating in the political process, the people of this country can change the way the system works","True -- this is the case; More true than false -- this is mostly the case, but not completely true; More false than true -- this is mostly not the case, but not completely false; False -- this is not the case at all; Unsure","-99; 1; 2; 3; 4; 5"
"78","q56","Is the following statement closer to being true or false?

The people of this country can solve problems that affect the lives of everyone by participating in the political process","True -- this is the case; More true than false -- this is mostly the case, but not completely true; More false than true -- this is mostly not the case, but not completely false; False -- this is not the case at all; Unsure","1; 2; 3; 4; 5"
"79","q57","Is the following statement closer to being true or false?


By participating in the political process, the people of this country can hold government officials accountable to the people's authority.","True -- this is the case; More true than false -- this is mostly the case, but not completely true; More false than true -- this is mostly not the case, but not completely false; False -- this is not the case at all; Unsure","1; 2; 3; 4; 5"
"80","q58","Is the following statement closer to being true or false?


The people of this country can change the existing state of affairs through their political participation.","True -- this is the case; More true than false -- this is mostly the case, but not completely true; More false than true -- this is mostly not the case, but not completely false; False -- this is not the case at all; Unsure","1; 2; 3; 4; 5"
"81","q59","What is your current gender?","Male; Female; Non-binary / third gender; Prefer not to say","1; 2; 3; 99"
"82","q60","Are you of Hispanic, Latino, or Spanish origin?","Yes; No; Prefer not to say","1; 2; 99"
"83","q61","Do you consider yourself primarily White or Caucasian, Black or African American, American Indian, Asian, or something else?","White or Caucasian; Black or African American; American Indian; Asian; Other","1; 2; 3; 4; 5"
"84","q62","What is the highest level of school you have completed or the highest degree you have received?","Less than high school degree; High school graduate (high school diploma or equivalent including GED); Some college but no degree; Associate degree in college (2-year); Bachelor's degree in college (4-year); Master's degree; Doctoral degree; Professional degree (JD, MD)","1; 2; 3; 4; 5; 6; 7; 8"
"85","q63","Have you ever served on active duty in the US Armed Forces?","Yes; No","1; 2"
"86","q64","Are you now serving in the Armed Forces?","Yes; No","1; 2"
"87","q65","Has a member of your immediate family ever served or is currently serving in the US military, the National Guard, or military reserves?","Yes; No","1; 2"
"88","q66","In 2020, Joe Biden ran on the Democratic ticket against Donald Trump for the Republicans. Do you remember for sure whether or not you voted in that election?","I'm sure I didn't vote; I don't think I voted; I think I voted; Yes, I'm sure I voted; I was not eligible to vote","1; 2; 3; 4; 5"
"89","q67","Who did you vote for?","Donald Trump; Joe Biden; Other","-99; 1; 2; 3"
"90","q68","Do you plan to vote in the elections this November?","Yes; No; Undecided","1; 2; 3"
"91","q69","Generally speaking, do you usually think of yourself as a Republican, a Democrat, an Independent, or something else?","Republican; Democrat; Independent; Other","-99; 1; 2; 3; 6"
"92","q70","Would you call yourself a strong Republican or a not very strong Republican?","Strong; Not very strong","1; 2"
"93","q71","Would you call yourself a strong Democrat or a not very strong Democrat?","Strong; Not very strong","1; 2"
"94","q72","Do you think of yourself as closer to the Republican or Democratic party?","Republican; Democratic; Neither","1; 2; 3"
"95","q73","Where would you place yourself on this scale, or haven't you thought much about this?","Extremely Liberal; Liberal; Slightly liberal; Moderate: middle of the road; Slightly conservative; Conservative; Extremely conservative; Haven't thought much about this","-99; 1; 2; 3; 4; 5; 6; 7; 8"
"96","q74","If you had to choose, would you consider yourself a liberal or a conservative?","Liberal; Conservative; None of these","1; 2; 3"
"97","qset","Qset","","; A; B"
"98","group","Group","","; Control; Treatment"
